2026-08-11 09:04:20,444 [daml.index.db.threadpool.connection.indexer-12] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(000000000000000013)),2026-08-11T01:00:00Z)
2026-08-11 09:04:20,447 [daml.index.db.threadpool.connection.indexer-12] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(000000000000000013)),2026-08-11T01:00:00Z)
2026-08-11 09:26:40,882 [canton-env-ec-99] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - DOM::local::12209834d168... authenticated new token with expiry 2026-08-11T02:26:40.882482Z
2026-08-11 09:26:41,115 [canton-env-ec-110] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - MED::local::12209834d168... authenticated new token with expiry 2026-08-11T02:26:41.114866Z
2026-08-11 09:26:43,273 [canton-env-ec-110] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - PAR::sandbox::12206722ea2b... authenticated new token with expiry 2026-08-11T02:26:43.273Z
2026-08-11 09:27:00,865 [canton-env-ec-82] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=topology-manager - The sequencer subscription has been terminated by the server.
2026-08-11 09:27:00,866 [canton-env-ec-37] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-08-11 09:27:00,931 [canton-env-ec-99] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - DOM::local::12209834d168... subscribes from counter=36
2026-08-11 09:27:01,101 [canton-env-ec-99] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=mediator - The sequencer subscription has been terminated by the server.
2026-08-11 09:27:01,101 [canton-env-ec-37] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2026-08-11 09:27:01,166 [canton-env-ec-90] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - MED::local::12209834d168... subscribes from counter=35
2026-08-11 09:27:03,261 [canton-env-ec-98] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=sandbox/domainId=local::12209834d168 - The sequencer subscription has been terminated by the server.
